Gene stable ID	Transcript stable ID	TAIR ID	TAIR Gene Name ID
AT1G21610	AT1G21610.3	AT1G21610	
AT1G21610	AT1G21610.5	AT1G21610	
AT1G21610	AT1G21610.4	AT1G21610	
AT1G21610	AT1G21610.1	AT1G21610	
AT1G21610	AT1G21610.6	AT1G21610	
AT5G05340	AT5G05340.1	AT5G05340	
AT5G45440	AT5G45440.1	AT5G45440	
AT4G05110	AT4G05110.2	AT4G05110	ATENT6
AT4G05110	AT4G05110.3	AT4G05110	ATENT6
AT4G05110	AT4G05110.1	AT4G05110	ATENT6
AT5G25380	AT5G25380.3	AT5G25380	CYCA2;1
AT5G25380	AT5G25380.2	AT5G25380	CYCA2;1
AT5G25380	AT5G25380.1	AT5G25380	CYCA2;1
AT5G25380	AT5G25380.4	AT5G25380	CYCA2;1
AT3G44080	AT3G44080.1	AT3G44080	
AT1G79710	AT1G79710.2	AT1G79710	
AT1G79710	AT1G79710.1	AT1G79710	
AT1G79710	AT1G79710.3	AT1G79710	
AT5G56920	AT5G56920.1	AT5G56920	
AT5G38000	AT5G38000.1	AT5G38000	
AT5G38000	AT5G38000.2	AT5G38000	
AT5G38000	AT5G38000.3	AT5G38000	
AT5G15050	AT5G15050.1	AT5G15050	
AT3G50370	AT3G50370.2	AT3G50370	
AT3G50370	AT3G50370.1	AT3G50370	
AT1G80840	AT1G80840.1	AT1G80840	WRKY40
AT5G53670	AT5G53670.1	AT5G53670	
ATMG00440	ATMG00440.1	ATMG00440	ORF152A
AT2G23160	AT2G23160.1	AT2G23160	
AT4G29940	AT4G29940.1	AT4G29940	PRHA
AT4G29940	AT4G29940.2	AT4G29940	PRHA
AT4G23640	AT4G23640.1	AT4G23640	TRH1
AT3G09550	AT3G09550.1	AT3G09550	
AT3G09550	AT3G09550.3	AT3G09550	
AT3G09550	AT3G09550.2	AT3G09550	
AT3G07568	AT3G07568.1	AT3G07568	
AT5G44630	AT5G44630.1	AT5G44630	
AT2G40900	AT2G40900.1	AT2G40900	
AT2G39140	AT2G39140.2	AT2G39140	SVR1
AT2G39140	AT2G39140.1	AT2G39140	SVR1
AT5G05950	AT5G05950.1	AT5G05950	MEE60
AT3G48670	AT3G48670.2	AT3G48670	IDN2
AT3G48670	AT3G48670.1	AT3G48670	IDN2
AT3G48670	AT3G48670.3	AT3G48670	IDN2
AT5G63810	AT5G63810.1	AT5G63810	BGAL10
AT5G02340	AT5G02340.1	AT5G02340	
AT4G32470	AT4G32470.2	AT4G32470	
AT4G32470	AT4G32470.1	AT4G32470	
AT3G11270	AT3G11270.2	AT3G11270	MEE34
AT3G11270	AT3G11270.1	AT3G11270	MEE34
AT2G46440	AT2G46440.1	AT2G46440	ATCNGC11
AT2G46440	AT2G46440.2	AT2G46440	ATCNGC11
AT2G17630	AT2G17630.1	AT2G17630	
AT2G21105	AT2G21105.1		
AT5G24100	AT5G24100.1	AT5G24100	
AT4G29330	AT4G29330.2	AT4G29330	DER1
AT4G29330	AT4G29330.1	AT4G29330	DER1
AT2G15470	AT2G15470.1	AT2G15470	
AT2G47790	AT2G47790.1	AT2G47790	
AT1G71300	AT1G71300.2	AT1G71300	
AT1G71300	AT1G71300.1	AT1G71300	
AT5G48545	AT5G48545.3	AT5G48545	HINT3
AT5G48545	AT5G48545.2	AT5G48545	HINT3
AT5G48545	AT5G48545.1	AT5G48545	HINT3
AT1G49490	AT1G49490.2	AT1G49490	
AT1G49490	AT1G49490.1	AT1G49490	
AT1G23645	AT1G23645.1		
AT1G23645	AT1G23645.2		
AT3G08530	AT3G08530.1	AT3G08530	
AT1G09795	AT1G09795.1	AT1G09795	ATATP-PRT2
AT2G19190	AT2G19190.1	AT2G19190	FRK1
AT5G56950	AT5G56950.1	AT5G56950	NFA03
AT3G22380	AT3G22380.1	AT3G22380	TIC
AT3G22380	AT3G22380.2	AT3G22380	TIC
AT3G22380	AT3G22380.3	AT3G22380	TIC
AT2G41835	AT2G41835.1	AT2G41835	
AT4G23590	AT4G23590.1	AT4G23590	
AT3G05140	AT3G05140.2	AT3G05140	RBK2
AT3G05140	AT3G05140.1	AT3G05140	RBK2
AT1G48690	AT1G48690.1	AT1G48690	
AT4G35620	AT4G35620.2	AT4G35620	CYCB2;2
AT4G35620	AT4G35620.1	AT4G35620	CYCB2;2
